epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,997.759,0.99838,0.96743,1.3616,0.74826,0.67391,0.69882,0.49372,1.39069,1.39312,1.96007,0.0011719,0.0011719,0.0011719
62,1013.47,0.9759,0.95968,1.35789,0.79564,0.70488,0.76424,0.51355,1.44119,1.31478,2.07264,0.00116365,0.00116365,0.00116365
63,1027.86,0.9854,0.9305,1.36707,0.76637,0.67121,0.71761,0.48207,1.51586,1.32863,2.15698,0.0011554,0.0011554,0.0011554
64,1042.91,0.98986,0.93428,1.35871,0.70499,0.63882,0.66365,0.43363,1.51803,1.61409,2.14413,0.00114715,0.00114715,0.00114715
65,1058,0.94212,0.89302,1.3253,0.76446,0.66516,0.70226,0.46251,1.44163,1.40218,2.04818,0.00113889,0.00113889,0.00113889
66,1072.65,0.9674,0.91029,1.35914,0.81934,0.60063,0.71777,0.47286,1.49689,1.39553,2.06308,0.00113064,0.00113064,0.00113064
67,1087.56,0.95928,0.89571,1.34329,0.79645,0.67698,0.74232,0.5012,1.45274,1.29027,2.0737,0.00112239,0.00112239,0.00112239
68,1102,0.9393,0.85996,1.32479,0.78445,0.71822,0.73914,0.48185,1.61368,1.30532,2.27987,0.00111414,0.00111414,0.00111414
69,1117.01,0.97123,0.86491,1.34448,0.83206,0.73011,0.78602,0.49733,1.50593,1.19042,2.12556,0.00110589,0.00110589,0.00110589
70,1131.51,0.95721,0.86899,1.34317,0.75539,0.72184,0.73963,0.47811,1.49911,1.36292,2.11462,0.00109764,0.00109764,0.00109764
71,1146.22,0.96808,0.86003,1.33319,0.83214,0.73358,0.73832,0.48627,1.49952,1.27852,2.11122,0.00108938,0.00108938,0.00108938
72,1160.76,0.99378,0.90308,1.36267,0.82113,0.71004,0.76609,0.52503,1.36793,1.21676,1.93325,0.00108113,0.00108113,0.00108113
